import time: self [us] | cumulative | imported package
import time:      1024 |       1024 |               sqlalchemy.sql.default_comparator
import time:      5232 |      68009 |             sqlalchemy.sql
import time:        32 |      68040 |           sqlalchemy.sql.compiler
import time:      2512 |      84583 |         sqlalchemy.engine.interfaces
import time:       788 |        788 |         sqlalchemy.engine.util
import time:      1257 |      86627 |       sqlalchemy.engine.base
import time:      1927 |      88554 |     sqlalchemy.engine.events
import time:       811 |        811 |         sqlalchemy.dialects
import time:      1067 |       1878 |       sqlalchemy.engine.url
import time:       676 |        676 |       sqlalchemy.engine.mock
import time:       971 |       3524 |     sqlalchemy.engine.create
import time:      1294 |       1294 |         sqlalchemy.engine.row
import time:      2178 |       3472 |       sqlalchemy.engine.result
import time:      1477 |       4949 |     sqlalchemy.engine.cursor
import time:      1744 |       1744 |     sqlalchemy.engine.reflection
import time:       784 |      99553 |   sqlalchemy.engine
import time:       623 |        623 |   sqlalchemy.schema
import time:       542 |        542 |   sqlalchemy.types
import time:       703 |        703 |     sqlalchemy.engine.characteristics
import time:      1324 |       2027 |   sqlalchemy.engine.default
import time:      1347 |     207886 | sqlalchemy
import time:       674 |        674 |   sqlalchemy.ext
import time:       768 |        768 |     sqlalchemy.ext.asyncio.exc
import time:       772 |        772 |     sqlalchemy.ext.asyncio.base
import time:       966 |        966 |     sqlalchemy.ext.asyncio.result
import time:      1314 |       3818 |   sqlalchemy.ext.asyncio.engine
import time:      1040 |       1040 |                     sqlalchemy.sql._orm_types
import time:      1394 |       2433 |                   sqlalchemy.orm._typing
import time:      1711 |       4144 |                 sqlalchemy.orm.base
import time:      1147 |       1147 |                 sqlalchemy.orm.mapped_collection
import time:      1808 |       7098 |               sqlalchemy.orm.collections
import time:      1960 |       1960 |                 sqlalchemy.orm.path_registry
import time:      2015 |       3974 |               sqlalchemy.orm.interfaces
import time:      2377 |      13449 |             sqlalchemy.orm.attributes
import time:      1927 |      15375 |           sqlalchemy.orm.util
import time:      1616 |      16991 |         sqlalchemy.orm.exc
import time:      1529 |       1529 |             sqlalchemy.orm.state
import time:      1466 |       2995 |           sqlalchemy.orm.instrumentation
import time:      1390 |       1390 |                 sqlalchemy.future.engine
import time:      1331 |       2721 |               sqlalchemy.future
import time:      1531 |       4251 |             sqlalchemy.orm.context
import time:      1872 |       1872 |                 sqlalchemy.orm.strategy_options
import time:      1603 |       1603 |                 sqlalchemy.orm.descriptor_props
import time:      2819 |       2819 |                 sqlalchemy.orm.relationships
import time:      1555 |       7848 |               sqlalchemy.orm.properties
import time:      4460 |       4460 |               sqlalchemy.orm.query
import time:      1606 |       1606 |               sqlalchemy.orm.unitofwork
import time:      1224 |       1224 |                   sqlalchemy.orm.evaluator
import time:      1015 |       1015 |                     sqlalchemy.orm.sync
import time:      1158 |       2172 |                   sqlalchemy.orm.persistence
import time:      1497 |       4891 |                 sqlalchemy.orm.bulk_persistence
import time:      1004 |       1004 |                 sqlalchemy.orm.identity
import time:      1145 |       1145 |                 sqlalchemy.orm.state_changes
import time:      2490 |       9530 |               sqlalchemy.orm.session
import time:      1695 |      25138 |             sqlalchemy.orm.strategies
import time:      1209 |      30598 |           sqlalchemy.orm.loading
import time:      2175 |      35767 |         sqlalchemy.orm.mapper
import time:      1855 |       1855 |         sqlalchemy.orm._orm_constructors
import time:       924 |        924 |           sqlalchemy.orm.clsregistry
import time:      1653 |       1653 |           sqlalchemy.orm.decl_base
import time:      1358 |       3934 |         sqlalchemy.orm.decl_api
import time:      1014 |       1014 |           sqlalchemy.orm.writeonly
import time:       997 |       2010 |         sqlalchemy.orm.dynamic
import time:      3277 |       3277 |           sqlalchemy.orm.scoping
import time:      4023 |       7300 |         sqlalchemy.orm.events
import time:       991 |        991 |         sqlalchemy.orm.dependency
import time:      1501 |      70346 |       sqlalchemy.orm
import time:      1084 |      71429 |     sqlalchemy.ext.asyncio.session
import time:       759 |      72188 |   sqlalchemy.ext.asyncio.scoping
import time:       860 |      77538 | sqlalchemy.ext.asyncio
import time:      1406 |       1406 |       dotenv.parser
import time:       823 |        823 |       dotenv.variables
import time:      1112 |       3341 |     dotenv.main
